Position,Team,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points
1,Manchester City,1,1,0,0,4,0,+4,3
2,Sunderland,1,1,0,0,3,0,+3,3
3,Tottenham Hotspur,1,1,0,0,3,0,+3,3
4,Liverpool,1,1,0,0,4,2,+2,3
5,Nottingham Forest,1,1,0,0,3,1,+2,3
6,Arsenal,1,1,0,0,1,0,+1,3
7,Brighton and Hove Albion,1,0,1,0,1,1,0,1
8,Fulham,1,0,1,0,1,1,0,1
9,Aston Villa,1,0,1,0,0,0,0,1
10,Chelsea,1,0,1,0,0,0,0,1
11,Crystal Palace,1,0,1,0,0,0,0,1
12,Newcastle United,1,0,1,0,0,0,0,1
13,Everton,0,0,0,0,0,0,0,0
14,Leeds United,0,0,0,0,0,0,0,0
15,Manchester United,1,0,0,1,0,1,-1,0
16,Bournemouth,1,0,0,1,2,4,-2,0
17,Brentford,1,0,0,1,1,3,-2,0
18,Burnley,1,0,0,1,0,3,-3,0
19,West Ham United,1,0,0,1,0,3,-3,0
20,Wolverhampton Wanderers,1,0,0,1,0,4,-4,0
