,Name of institution,Designated learning institution number (DLI #),City,Campuses,Offers PGWP-eligible programs
0,"A1-Global College of Health, Business, and Technology",O19394699296,"Mississauga, Scarborough, Hamilton","East Campus, West Campus, Scarborough Campus, Hamilton Campus",No
1,ABC Access Business College,O242732890457,Brampton,Brampton,No
2,ABC Access Business College,O242732890457,North York,North York,No
3,ABM College of Health and Technology,O284235625552,Toronto,,No
4,Académie de Dessin de Mode Richard Robinson Academy of Fashion Design,O119063232417,Ottawa,Ottawa,No
5,Academy of Applied Pharmaceutical Sciences (AAPS) Inc.,O19376386952,Toronto,Toronto,No
6,Academy of Learning,O19359144722,Brampton,"Brampton, Mississauga",No
7,Academy of Learning Career and Business College,O147996700392,North York,North York,No
8,Academy of Learning Career and Business College,O147996700392,Oshawa,Oshawa,No
9,Academy of Learning Career and Business College,O260518481572,Fort Erie,Fort Erie,No
10,Academy of Learning Career and Business College,O260328722832,Owen Sound,Owen Sound,No
11,Academy of Learning Career and Business College,O139832935932,Toronto,Toronto,No
12,Academy of Learning Career and Business College,O139832935932,Scarborough,Scarborough,No
13,Academy of Learning Career and Business College,O132633122837,Belleville,Belleville,No
14,Academy of Learning Career and Business College,O112937383987,Etobicoke,Etobicoke,No
15,Academy of Learning Career and Business College,O19516732252,Scarborough,Lawrence Campus,No
16,Academy of Learning Career and Business College,O19859544417,Toronto,Bay/Queen,No
17,Academy of Learning Career and Business College,O19303790322,"Kingston, Mississauga","Kingston Campus, Mississauga Campus",No
18,Academy of Learning Career and Business College,O262792573012,Brampton,Brampton,No
19,Academy of Learning College,O128609354927,Ottawa,Ottawa,No
20,Academy of Learning College,O19305245022,Hamilton,Hamilton Campus,No
21,ACE Acumen Academy,O242529990457,Brampton,Brampton,No
22,ACE Acumen Academy,O242529990457,Toronto,1440 Don Mills Rd. (Kern Rd. Campus),No
23,ACE Acumen Academy,O242529990457,Toronto,1446 Don Mills Rd.,No
24,ACE Acumen Academy,O242529990457,Mississauga,Mississauga,No
25,Adler Graduate Professional School,O19376414752,Toronto,Toronto,Yes(details)
26,"Affirm College of Healthcare, Culinary Arts, Business and Technology",O136578032172,Hamilton,Hamilton,No
27,Ahmadiyya Muslim Jama’at Canada Inc.,O114556020427,Maple,Maple,No
28,AIM Academy,O19396261561,Toronto,Toronto,No
29,AIMS College Healthcare Management Technology,O135631727752,Mississauga,Mississauga,No
30,Algoma University,O19395422197,Brampton,Algoma at Brampton,Yes
31,Algoma University,O19395422197,Sault Ste. Marie,Main Campus,Yes
32,Algoma University,O19395422197,Timmins,Algoma at Timmins,Yes
33,Algonquin Careers Academy,O19329829942,Ottawa,Ottawa,No
34,Algonquin College,O19358971022,Ottawa,Algonquin College of Applied Arts and Technology,Yes
35,Algonquin College,O19358971022,Pembroke,"Algonquin College of Applied Arts and Technology, Pembroke Campus",Yes
36,Algonquin College,O19358971022,Perth,"Algonquin College of Applied Arts and Technology, Perth Campus",Yes
37,"Algonquin College at CDI College Business, Technology and Healthcare",O273223369382,Brampton,Brampton,No (details)
38,"Algonquin College at CDI College Business, Technology and Healthcare",O273223369382,Mississauga,Mississauga,No (details)
39,"Algonquin College at CDI College Business, Technology and Healthcare",O273223369382,North York,North York,No (details)
40,"Algonquin College at CDI College Business, Technology and Healthcare",O273223369382,Scarborough,Scarborough,No (details)
41,Alpha College of Business and Technology,O19555982922,Scarborough,Scarborough,No
42,Alpha College of Business and Technology,O19555982922,Mississauga,Mississauga,No
43,"Anderson College of Health, Business and Technology",O19711641837,Hamilton,Hamilton,No
44,"Anderson College of Health, Business and Technology",O19711641837,Mississauga,Mississauga,No
45,"Anderson College of Health, Business and Technology",O19711641837,Toronto,Toronto,No
46,"Anderson College of Health, Business and Technology",O19386060342,Toronto,"Downtown, North York",No
47,"Anderson College of Health, Business and Technology",O19516877052,London,"Brantford, Kitchener, London, Windsor",No
48,"Anderson College, Health, Business & Technology",O19319175222,Mississauga,Mississauga,No
49,APlus Institute,O19304163112,Toronto,Toronto,No
50,Art & Technique Academy of Hairstyling and Esthetics,O19530458702,Oshawa,Oshawa Campus,No
51,Atlantic Career College,O156781197282,Brampton,Brampton,No
52,Avola College Of Hairstyling and Esthetics,O116458043605,Toronto,Toronto,No
53,Bay College of Health Business and Technology,O136148508342,Toronto,Toronto,No
54,Bayswater Toronto,O19516888332,Toronto,Toronto,No
55,Beta College of Business and Technology,O124136581227,"Mississauga,
Brampton","Mississauga,
Brampton",No
56,BITTS International Career College,O118231504027,Brampton,Brampton,No
57,BITTS International Career College,O118231504027,Mississauga,Mississauga,No
58,"BizTech College of Health Sciences, Business & Technology",O19304029082,Mississauga,Mississauga,No
59,Brampton Flight Centre,O19303958082,Caledon,Caledon,"Yes (details
for Flight schools
)"
60,Brampton Skin Care Academy Inc.,O260429274962,Brampton,Brampton,No
61,Brantford Flight Centre,O138135814462,Brantford,Brantford,No
62,Brock University,O19394569014,Hamilton,Hamilton Campus,Yes
63,Brock University,O19394569014,St. Catharines,Main Campus,Yes
64,Bryan College of Applied Health & Business Sciences,O116458952783,Toronto,Toronto,No
65,Business and Technical Training College Inc.,O112370832787,North York,North York,No
66,C.C.E.C. Canadian Career Education College Ltd,O262228554872,Vaughan,Vaughan,No
67,Cambrian College of Applied Arts and Technology,O19394699409,Sudbury,Main Campus,Yes
68,"Cambrian College of Applied Arts and Technology at Hanson College of Business, Health and Technology",O297964694655,Brampton,Brampton,No (details)
69,"Cambrian College of Applied Arts and Technology at Hanson College of Business, Health and Technology",O297964694655,Toronto,Toronto,No (details)
70,Can-AIM Careers Academy,O263851487422,Toronto,Toronto,No
71,Canada Christian College & School of Graduate Theological Studies,O19857659067,Toronto,Toronto,Yes(details)
72,Canada College of Education,O19833653497,Toronto,Toronto,No
73,Canada’s National Ballet School,O19361087992,Toronto,Toronto,No
74,Canadian Academy of Dental Health & Community Sciences,O118203132467,Mississauga,Mississauga,No
75,Canadian All Care College,O19350533892,Toronto,"Scarborough Campus, Toronto Campus",No
76,Canadian Automotive & Trucking Institute,O19527255662,Cambridge,Cambridge,No
77,Canadian Beauty College,O19361295922,Newmarket,Newmarket,No
78,Canadian Beauty College,O19315968872,Vaughan,Vaughan,No
79,Canadian Beauty College,O116263336197,Toronto,Toronto,No
80,Canadian Business College,O19556076972,Mississauga,Mississauga,No
81,Canadian Business College,O19556076972,Toronto,"Scarborough Campus, Toronto Campus",No
82,Canadian Business Skills College of Technology,O19332510172,Markham,Markham,No
83,Canadian Care Academy Inc,O146590164562,Toronto,Toronto,No
84,Canadian Casino Gaming College Ltd.,O156787010372,Mississauga,Mississauga,No
85,Canadian College for Higher Studies,O19283878482,Scarborough,Scarborough,No
86,"Canadian College of Business, Science & Technology",O19376450572,Brampton,"Brampton, Mississauga, North York, Scarborough",No
87,Canadian College of Educators,O19303896162,Mississauga,Mississauga,No
88,"Canadian College of Health, Science and Technology",O19395677987,Windsor,Windsor,No
89,Canadian College of Healthcare and Pharmaceutics,O278286722242,Toronto,Toronto,No
