Course,University,Masters/Bachelors,Language,Course Duration,Course Link
ECONOMICS - LM-56 R,Università degli Studi di UDINE,Magistrale,EN,2 years,https://www.uniud.it/it/didattica/corsi/area-economico-giuridica/economia/laurea-magistrale/economics-scienze-economiche
ECONOMICS - LM-56 R,"Università degli Studi di ROMA ""Tor Vergata""",Magistrale,EN,2 years,https://economia.uniroma2.it/master-science/economics
ECONOMICS - LM-56 R,Università di PISA,Magistrale,EN,2 years,https://www.ec.unipi.it/didattica/offerta-formativa/laurea-magistrale-in-economics/
ECONOMICS - LM-56 R,Università degli Studi di SIENA,Magistrale,EN,2 years,https://economics.unisi.it/
ECONOMICS - LM-56 R,Università degli Studi di TORINO,Magistrale,EN,2 years,https://www.economics.unito.it/do/home.pl
"ECONOMICS, FINANCE AND SUSTAINABILITY - LM-56 R","Università ""Ca' Foscari"" VENEZIA",Magistrale,EN,2 years,http://www.unive.it/cdl/emr15
ECONOMICS AND DEVELOPMENT - LM-56 R,Università degli Studi di FIRENZE,Magistrale,EN,2 years,http://www.economicsanddevelopment.unifi.it/
"ECONOMICS, DEVELOPMENT AND INNOVATION - LM-56 R",Università degli Studi di PAVIA,Magistrale,EN,2 years,https://medi.unipv.eu/
"ECONOMICS: BEHAVIOR, DATA AND POLICY - L-33 R",Università degli Studi di MILANO,Triennale,EN,3 years,https://econ.cdl.unimi.it/en
ECONOMICS AND PUBLIC POLICY - LM-56 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/EconomicsPolicy
ECONOMICS AND POLITICAL SCIENCE - LM-56 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://eps.cdl.unimi.it/en
ECONOMICS AND MANAGEMENT OF GOVERNMENT AND INTERNATIONAL ORGANIZATIONS - LM-77 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/economics-and-management-government-and-international-organizations
ECONOMICS AND BUSINESS - L-33 R,"Università ""Ca' Foscari"" VENEZIA",Triennale,EN,3 years,https://unive.it/cdl/ETR9
ECONOMICS AND BUSINESS - L-33 R,Luiss Libera Università internazionale degli studi sociali Guido Carli,Triennale,EN,3 years,https://undergraduate.luiss.it/it/course/economics-and-business/
ECONOMICS & DATA SCIENCE - LM-56 R,Università degli Studi di GENOVA,Magistrale,EN,2 years,https://corsi.unige.it/en/corsi/11937
ECONOMICS AND TECHNOLOGIES FOR SUSTAINABILITY - LM-76 R,Università degli Studi di MILANO-BICOCCA,Magistrale,EN,2 years,https://elearning.unimib.it/F7603Q
ECONOMICS AND FINANCE WITH DATA SCIENCE - L-33 R,Università degli Studi di TORINO,Triennale,EN,3 years,https://www.efds.unito.it/do/home.pl
ECONOMICS AND MANAGEMENT - L-18 R,Università degli Studi di SIENA,Triennale,EN,3 years,https://economics-management.unisi.it/en
ECONOMICS OF INNOVATION FOR SUSTAINABLE DEVELOPMENT - LM-56 R,Università degli Studi di TORINO,Magistrale,EN,2 years,https://www.eisd.unito.it/
INTERNATIONAL ECONOMICS AND BUSINESS - LM-56 R,Università degli Studi di VERONA,Magistrale,EN,2 years,https://www.corsi.univr.it/?ent=cs&id=1308
ECONOMICS AND POLITICAL SCIENCE - LM-56 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://eps.cdl.unimi.it/en
ECONOMICS AND MANAGEMENT OF GOVERNMENT AND INTERNATIONAL ORGANIZATIONS - LM-77 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/economics-and-management-government-and-international-organizations
ECONOMICS AND BUSINESS - L-33 R,"Università ""Ca' Foscari"" VENEZIA",Triennale,EN,3 years,https://unive.it/cdl/ETR9
ECONOMICS AND BUSINESS - L-33 R,Luiss Libera Università internazionale degli studi sociali Guido Carli,Triennale,EN,3 years,https://undergraduate.luiss.it/it/course/economics-and-business/
ECONOMICS & DATA SCIENCE - LM-56 R,Università degli Studi di GENOVA,Magistrale,EN,2 years,https://corsi.unige.it/en/corsi/11937
ECONOMICS AND TECHNOLOGIES FOR SUSTAINABILITY - LM-76 R,Università degli Studi di MILANO-BICOCCA,Magistrale,EN,2 years,https://elearning.unimib.it/F7603Q
ECONOMICS AND FINANCE WITH DATA SCIENCE - L-33 R,Università degli Studi di TORINO,Triennale,EN,3 years,https://www.efds.unito.it/do/home.pl
ECONOMICS AND MANAGEMENT - L-18 R,Università degli Studi di SIENA,Triennale,EN,3 years,https://economics-management.unisi.it/en
ECONOMICS OF INNOVATION FOR SUSTAINABLE DEVELOPMENT - LM-56 R,Università degli Studi di TORINO,Magistrale,EN,2 years,https://www.eisd.unito.it/
INTERNATIONAL ECONOMICS AND BUSINESS - LM-56 R,Università degli Studi di VERONA,Magistrale,EN,2 years,https://www.corsi.univr.it/?ent=cs&id=1308
INTERNATIONAL POLITICS AND ECONOMICS - LM-56 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/InternationalPoliticsEconomics
ECONOMICS WITH DATA SCIENCE - L-33 R,Università degli Studi di CASSINO e del LAZIO MERIDIONALE,Triennale,EN,3 years,https://unicas-public.gomp.it/PublicData?uid=539e3281-7a03-4c3a-914a-8305223bec11&mode=CourseDetail&iso=eng&academicYear=2024
ECONOMICS AND SCIENCE FOR ENVIRONMENTAL SUSTAINABILITY - L-33 R,Università degli Studi di MILANO-BICOCCA,Triennale,EN,3 years,https://www.unimib.it/didattica/offerta-formativa/corsi-laurea-iscrizioni/area-economico-statistica-laurea-triennale
"LAW, ECONOMICS AND GOVERNANCE - LM/SC-GIUR R",Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/LawEconomicsGovernance
ECONOMIC AND SOCIAL SCIENCES - LM-56 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/economic-and-social-sciences
FINANCE AND ECONOMICS - LM-16 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://mef.cdl.unimi.it/en
INTERNATIONAL ECONOMICS AND FINANCE - L-33 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Triennale,EN,3 years,https://www.unibocconi.it/en/programs/bachelor-science/international-economics-and-finance
ECONOMIC AND SOCIAL SCIENCES - L-33 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Triennale,EN,3 years,https://www.unibocconi.it/en/programs/bachelor-science/economic-and-social-sciences
DATA SCIENCE FOR ECONOMICS AND HEALTH - LM-DATA,Università degli Studi di MILANO,Magistrale,EN,2 years,https://dseh.cdl.unimi.it/en
