Course,University,Masters/Bachelors,Language,Course Duration,Course Link
HUMAN RESOURCES MANAGEMENT EXPERT AND WORK CONSULTANT - L-14 R,Università degli Studi di FOGGIA,Triennale,IT,3 years,https://mhr.cdl.unimi.it/en
"HUMAN RESOURCES, LABOUR SCIENCES AND INNOVATION - LM/SC-GIUR R","Università degli Studi di ROMA ""La Sapienza""",Magistrale,IT,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/economia-e-scienze-politiche?ordinamento=2025&key=EP2894&tipo=LM&scuola=EP
LABOUR CONSULTANCY AND HUMAN RESOURCES MANAGEMENT - L-16 R,Università degli Studi di TORINO,Triennale,IT,3 years,http://www.unitus.it/it/dipartimento/distu/corso-di-laurea-magistrale-in-security-and-human-rights-lm-90-/articolo/presentazione-corso
HUMAN RESOURCES TRAINING AND DEVELOPMENT - LM-57 R,Università degli Studi di MILANO-BICOCCA,Magistrale,IT,2 years,http://corsi.unibo.it/2Cycle/internationalcooperation
PEDAGOGICAL PLANNING AND HUMAN RESOURCES TRAINING - LM-50 R,Università Cattolica del Sacro Cuore,Magistrale,IT,2 years,https://corsi.unibo.it/2cycle/OrganizationalPsychology
"PSYCHOLOGY: HUMAN RESOURCES, COGNITIVE ERGONOMICS, COGNITIVE NEUROSCIENCE - LM-51 R",Università degli Studi Suor Orsola Benincasa - NAPOLI,Magistrale,IT,2 years,https://hcai.cdl.unimi.it/en
"HUMAN RESOURCES, ORGANIZATIONS AND BUSINESS PSYCHOLOGICAL SCIENCES - L-24 R",Università Telematica degli Studi IUL,Triennale,IT,2 years,https://psychology.cdl.unipv.it/
HUMAN RESOURCES ORGANISATION AND MANAGEMENT - L-16 R,"Università degli Studi di NAPOLI ""Parthenope""",Triennale,IT,2 years,https://corsi.unitn.it/en/human-computer-interaction
MANAGEMENT OF HUMAN RESOURCES - LM-77 R,Università degli Studi di MILANO,Magistrale,EN,3 years,https://www.unipd.it/offerta-didattica/corso-di-laurea/scienze?tipo=L&scuola=SC&ordinamento=2025&key=SC2978&cg=scienze
CORPORATE COMMUNICATION AND HUMAN RESOURCES MANAGEMENT - LM-59 R,Università di PISA,Magistrale,IT,2 years,https://veterinaria.uniss.it/it
ECONOMICS AND MANAGEMENT OF CULTURAL RESOURCES AND TERRITORIES - LM-76 R,Università degli Studi di Urbino Carlo Bo,Magistrale,EN,2 years,https://www.uniurb.it/corsi/1757226
DATA ANALYTICS FOR ECONOMICS AND MANAGEMENT - LM-DATA,Libera Università di BOLZANO,Magistrale,EN,2 years,http://www.unibz.it/en/economics-management/master-data-analytics-economics-management
GEOPHYSICS FOR NATURAL RISKS AND RESOURCES - LM-79 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC3010&cg=scienze
MANAGEMENT ENGINEERING - LM-31,Università degli Studi di BERGAMO,Magistrale,EN,2 years,https://ls-ig.unibg.it/en
INTERNATIONAL MANAGEMENT - LM-77 R,Università degli Studi di CAGLIARI,Magistrale,EN,2 years,https://web.unica.it/unica/it/crs_11_84.page
SUSTAINABLE NATURAL RESOURCE MANAGEMENT - LM-73 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://snrm.cdl.unimi.it/en
COGNITIVE SCIENCE - LM-55 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/cognitive-science
MANAGEMENT ENGINEERING - LM-31,Università degli Studi di PALERMO,Magistrale,EN,2 years,https://www.unipa.it/dipartimenti/ingegneria/cds/managementengineeringcorsoonline2256/
MANAGEMENT ENGINEERING - LM-31,Università degli Studi di PALERMO,Magistrale,EN,2 years,http://www.unipa.it/dipartimenti/ingegneria/cds/ingegneriagestionale2034
HEALTH ECONOMICS AND MANAGEMENT - LM-56 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/2cycle/EUHealthEconomicsMananagement
ENVIRONMENTAL HUMANITIES - LM-1 R,"Università ""Ca' Foscari"" VENEZIA",Magistrale,EN,2 years,http://www.unive.it/cdl/lmr10
BUSINESS ADMINISTRATION - LM-77 R,"Università degli Studi di ROMA ""Tor Vergata""",Magistrale,EN,2 years,https://economia.uniroma2.it/master-science/ba
INNOVATION MANAGEMENT FOR SUSTAINABLE TOURISM - LM-77 R,Università degli Studi di SASSARI,Magistrale,EN,2 years,https://disea.uniss.it/it
HOSPITALITY AND TOURISM MANAGEMENT - LM-49 R,Libera Università di lingue e comunicazione IULM-MI,Magistrale,EN,2 years,https://www.iulm.it/it/offerta-formativa/corsi-di-lauree-magistrali/hospitality-tourism-management/hospitality-tourism-management
DISASTER AND HEALTH CRISIS MANAGEMENT - LM-81 R,Università degli Studi del PIEMONTE ORIENTALE,Magistrale,EN,2 years,https://disste.uniupo.it/en/university-studies/course/disaster-health-crisis-management-ay-20252026
TOURISM SYSTEMS AND HOSPITALITY MANAGEMENT - LM-49 R,Università degli Studi di PALERMO,Magistrale,EN,2 years,http://www.unipa.it/dipartimenti/seas/cds/tourismsystemsandhospitalitymanagement2205
ECONOMICS - LM-56 R,Università degli Studi di UDINE,Magistrale,EN,2 years,https://www.uniud.it/it/didattica/corsi/area-economico-giuridica/economia/laurea-magistrale/economics-scienze-economiche
HOSPITALITY FOR SUSTAINABLE TOURISM DEVELOPMENT - LM-49 R,Università degli Studi INSUBRIA Varese-Como,Magistrale,EN,2 years,https://www.uninsubria.it/magistrale-hospitality
ECONOMICS & DATA SCIENCE - LM-56 R,Università degli Studi di GENOVA,Magistrale,EN,2 years,https://corsi.unige.it/en/corsi/11937
