Course,University,Masters/Bachelors,Language,Course Duration,Course Link
STRATEGIC MANAGEMENT - LM-77 R,Luiss Libera Università internazionale degli studi sociali Guido Carli,Magistrale,MU,2 years,https://graduate.luiss.it/it
BUSINESS MANAGEMENT - L-18 R,Università degli Studi di PAVIA,Triennale,IT,3 years,http://clam.cdl.unipv.it/
MANAGEMENT AND GOVERNANCE - LM-77 R,Università degli Studi di SIENA,Magistrale,IT,2 years,https://mago.unisi.it/
MANAGEMENT FOR SUSTAINABLE FIRMS - LM-77 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/economia-e-scienze-politiche?tipo=LM&scuola=EP&ordinamento=2025&key=EP2899&cg=economia-finanza-gestione-azie
MANAGEMENT OF HUMAN RESOURCES - LM-77 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://mhr.cdl.unimi.it/en
MANAGEMENT - LM-77 R,"Università Telematica ""Universitas MERCATORUM""",Magistrale,IT,2 years,http://www.unimercatorum.it/
SERVICE MANAGEMENT - LM-77 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/ServiceManagement/index.html
MANAGEMENT FOR BUSINESS AND ECONOMICS - L-18 R,Università di PISA,Triennale,EN,3 years,https://mbe.ec.unipi.it/
CORPORATE MANAGEMENT AND PUBLIC ADMINISTRATION - LM-77 R,LINK CAMPUS University,Magistrale,MU,2 years,https://www.unilink.it/cds/direzione-aziendale-e-della-pubblica-amministrazione-lm-77-aa-25-26
MANAGEMENT - LM-77 R,Luiss Libera Università internazionale degli studi sociali Guido Carli,Magistrale,EN,2 years,https://graduate.luiss.it/it/course/management
MANAGEMENT FOR SUSTAINABLE FIRMS - LM-77 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/economia-e-scienze-politiche?tipo=LM&scuola=EP&ordinamento=2025&key=EP2899&cg=economia-finanza-gestione-azie
MANAGEMENT OF HUMAN RESOURCES - LM-77 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://mhr.cdl.unimi.it/en
SERVICE MANAGEMENT - LM-77 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/ServiceManagement/index.html
MANAGEMENT FOR BUSINESS AND ECONOMICS - L-18 R,Università di PISA,Triennale,EN,3 years,https://mbe.ec.unipi.it/
MANAGEMENT - LM-77 R,Luiss Libera Università internazionale degli studi sociali Guido Carli,Magistrale,EN,2 years,https://graduate.luiss.it/it/course/management
MANAGEMENT - LM-77 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/european-master-business-studies
MANAGEMENT - LM-77 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/it/management
MANAGEMENT OF INNOVATION AND ENTREPRENEURSHIP - LM-77 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://mie.cdl.unimi.it/en
MANAGEMENT - LM-77 R,Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/management-milano
BUSINESS ADMINISTRATION AND MANAGEMENT - L-18 R,"Università ""Ca' Foscari"" VENEZIA",Triennale,EN,3 years,https://unive.it/cdl/ETR8
ECONOMICS AND MANAGEMENT OF GOVERNMENT AND INTERNATIONAL ORGANIZATIONS - LM-77 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/economics-and-management-government-and-international-organizations
MANAGEMENT ENGINEERING - LM-31,Università degli Studi di BERGAMO,Magistrale,EN,2 years,https://ls-ig.unibg.it/en
MANAGEMENT ENGINEERING - LM-31,Università degli Studi di FIRENZE,Magistrale,EN,2 years,http://www.ing-mme.unifi.it/
INTERNATIONAL MANAGEMENT - LM-77 R,"Università ""Ca' Foscari"" VENEZIA",Magistrale,EN,2 years,http://www.unive.it/cdl/emr18
INNOVATION MANAGEMENT - LM-77 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/innovation-management
GLOBAL MANAGEMENT AND POLITICS - LM-77 R,Luiss Libera Università internazionale degli studi sociali Guido Carli,Magistrale,EN,2 years,https://graduate.luiss.it/it/course/global-management-and-politics
MANAGEMENT ENGINEERING - LM-31,Università degli Studi di PALERMO,Magistrale,EN,2 years,https://www.unipa.it/dipartimenti/ingegneria/cds/managementengineeringcorsoonline2256/
MANAGEMENT ENGINEERING - LM-31,Università degli Studi di PALERMO,Magistrale,EN,2 years,http://www.unipa.it/dipartimenti/ingegneria/cds/ingegneriagestionale2034
INNOVATION AND MANAGEMENT FOR CULTURE AND CREATIVITY - LM-77 R,"Università ""Ca' Foscari"" VENEZIA",Magistrale,EN,2 years,http://www.unive.it/cdl/emr17
"INTERNATIONAL MARKETING, MANAGEMENT AND ORGANIZATION - LM-77 R",Università degli Studi di UDINE,Magistrale,EN,2 years,https://www.uniud.it/it/didattica/corsi/area-economico-giuridica/economia/laurea-magistrale/international-marketing-management-organization
MANAGEMENT ENGINEERING - LM-31,Politecnico di MILANO,Magistrale,EN,2 years,https://management-eng.polimi.it/laurea-magistrale/
INTERNATIONAL MANAGEMENT - LM-77 R,Università degli Studi di CAGLIARI,Magistrale,EN,2 years,https://web.unica.it/unica/it/crs_11_84.page
INTERNATIONAL MANAGEMENT - LM-77 R,Università degli Studi di MODENA e REGGIO EMILIA,Magistrale,EN,2 years,https://www.economia.unimore.it/it/didattica/corsi-di-laurea-magistrale-informazioni-generali/international-management-im
INTERNATIONAL MANAGEMENT - LM-77 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/international-management
BUSINESS & MANAGEMENT - L-18 R,Università degli Studi di TORINO,Triennale,EN,3 years,http://www.business-management.unito.it/
DIGITAL TRANSFORMATION MANAGEMENT - LM-91 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/DigitalTransformationManagement
DIGITAL INTELLIGENCE AND CHANGE MANAGEMENT - LM-77 R,Università di PISA,Magistrale,EN,2 years,https://www.universitaly.it/#
DIGITAL MANAGEMENT - L-18 R,"Università ""Ca' Foscari"" VENEZIA",Triennale,EN,3 years,http://www.unive.it/cdl/etr7
GLOBAL BUSINESS MANAGEMENT - LM-77 R,Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/global-business-management-piacenza
INTERNATIONAL ACCOUNTING AND MANAGEMENT - LM-77 R,Università degli Studi di SIENA,Magistrale,EN,2 years,https://iama.unisi.it/en
MANAGEMENT OF BUILT ENVIRONMENT - LM-24,Politecnico di MILANO,Magistrale,EN,2 years,http://www.ccsmbe.polimi.it/
ENGINEERING MANAGEMENT - LM-31,Università degli Studi di SIENA,Magistrale,EN,2 years,https://engineering-management.unisi.it/
ENGINEERING MANAGEMENT - LM-31,Università degli Studi di PERUGIA,Magistrale,EN,2 years,http://www.unipg.it/perm/offerta-formativa/2025/corso/7220
ENGINEERING MANAGEMENT - L-8 R,Università degli Studi di PERUGIA,Triennale,EN,3 years,http://www.unipg.it/perm/offerta-formativa/2025/corso/8432
PLANNING AND MANAGEMENT OF TOURISM SYSTEMS - LM-49 R,Università degli Studi di BERGAMO,Magistrale,EN,2 years,https://ls-pmts.unibg.it/en
INNOVATION AND TECHNOLOGY MANAGEMENT - LM-77 R,Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/innovation-and-technology-management-milano
HEALTHCARE MANAGEMENT - LM-77 R,Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/magistrale/healthcare-management-roma.html
INTERNATIONAL TOURISM AND DESTINATION MANAGEMENT - LM-49 R,Università degli Studi di MACERATA,Magistrale,EN,2 years,https://corsi.unimc.it/en/international-tourism-destination-management
TOURISM MANAGEMENT - LM-77 R,Libera Università di BOLZANO,Magistrale,EN,2 years,https://www.unibz.it/it/faculties/economics-management/master-tourism-management/
BUSINESS ADMINISTRATION - LM-77 R,"Università degli Studi di ROMA ""Tor Vergata""",Magistrale,EN,2 years,https://economia.uniroma2.it/master-science/ba
MARKETING MANAGEMENT - LM-77 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/marketing-management
HOSPITALITY AND TOURISM MANAGEMENT - LM-49 R,Libera Università di lingue e comunicazione IULM-MI,Magistrale,EN,2 years,https://www.iulm.it/it/offerta-formativa/corsi-di-lauree-magistrali/hospitality-tourism-management/hospitality-tourism-management
TOURISM ECONOMICS AND MANAGEMENT - LM-56 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/2Cycle/team
AGRIFOOD INNOVATION MANAGEMENT - LM-69 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/agrifood-innovation-management
FOOD INDUSTRY MANAGEMENT - LM/GASTR R,Università degli Studi di SCIENZE GASTRONOMICHE,Magistrale,EN,2 years,https://www.unisg.it/corsi-iscrizioni/laurea-magistrale/
"FASHION, ART AND FOOD MANAGEMENT - LM-77 R","Università degli Studi di NAPOLI ""Parthenope""",Magistrale,EN,2 years,https://orienta.uniparthenope.it/laurea-magistrale/fashion-art-food-management/
SUSTAINABLE NATURAL RESOURCE MANAGEMENT - LM-73 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://snrm.cdl.unimi.it/en
DATA ANALYTICS FOR ECONOMICS AND MANAGEMENT - LM-DATA,Libera Università di BOLZANO,Magistrale,EN,2 years,http://www.unibz.it/en/economics-management/master-data-analytics-economics-management
ECONOMICS AND MANAGEMENT - L-18 R,Università Cattolica del Sacro Cuore,Triennale,EN,3 years,https://www.unicatt.it/corsi/economics-and-management-milano
DATA SCIENCE AND MANAGEMENT - LM-91 R,Luiss Libera Università internazionale degli studi sociali Guido Carli,Magistrale,EN,2 years,https://graduate.luiss.it/it/course/data-science-and-management
ACCOUNTING AND FINANCIAL MANAGEMENT - LM-77 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/accounting-and-financial-management
TOURISM MANAGEMENT AND SUSTAINABILITY - LM-49 R,"Università ""Ca' Foscari"" VENEZIA",Magistrale,EN,2 years,http://www.unive.it/cdl/emr9
MANAGEMENT AND ECONOMICS - L-18 R,Alma Mater Studiorum - Università di BOLOGNA,Triennale,EN,3 years,https://corsi.unibo.it/1cycle/Management
ECONOMICS AND MANAGEMENT - L-18 R,Università degli Studi di SIENA,Triennale,EN,3 years,https://economics-management.unisi.it/en
GLOBAL ENTREPRENEURSHIP ECONOMICS AND MANAGEMENT (GEEM) - LM-77 R,Università degli Studi INSUBRIA Varese-Como,Magistrale,EN,2 years,http://www.uninsubria.it/magistrale-geem
MANAGEMENT ENGINEERING FOR INNOVATION - L-9 R,Politecnico di BARI,Triennale,EN,3 years,https://poliba.coursecatalogue.cineca.it/corsi/2025/10247
HEALTH ECONOMICS AND MANAGEMENT - LM-56 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/2cycle/EUHealthEconomicsMananagement
INTERNATIONAL ECONOMICS AND MANAGEMENT - L-18 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Triennale,EN,3 years,https://www.unibocconi.it/en/programs/bachelor-science/international-economics-and-management
INNOVATION MANAGEMENT FOR SUSTAINABLE TOURISM - LM-77 R,Università degli Studi di SASSARI,Magistrale,EN,2 years,https://disea.uniss.it/it
TOURISM SYSTEMS AND HOSPITALITY MANAGEMENT - LM-49 R,Università degli Studi di PALERMO,Magistrale,EN,2 years,http://www.unipa.it/dipartimenti/seas/cds/tourismsystemsandhospitalitymanagement2205
DISASTER AND HEALTH CRISIS MANAGEMENT - LM-81 R,Università degli Studi del PIEMONTE ORIENTALE,Magistrale,EN,2 years,https://disste.uniupo.it/en/university-studies/course/disaster-health-crisis-management-ay-20252026
"WILDLIFE MANAGEMENT, CONSERVATION, AND CONTROL - LM-86 R",Università degli Studi di SASSARI,Magistrale,EN,2 years,https://www.veterinaria.uniss.it/en/didactics/masters-degree-wildlife-management-conservation-and-control-wmcc
ENGINEERING FOR NATURAL RISK MANAGEMENT - LM-26 R,Università degli Studi di GENOVA,Magistrale,EN,2 years,https://corsi.unige.it/en/corsi/11921
FOOD SAFETY AND FOOD RISK MANAGEMENT - LM-70 R,Università degli Studi di PARMA,Magistrale,EN,2 years,https://corsi.unipr.it/en/cdlm-fsafrm
"ECONOMICS, MANAGEMENT AND COMPUTER SCIENCE - L-33 R","Università Commerciale ""Luigi Bocconi"" MILANO",Triennale,EN,3 years,https://www.unibocconi.it/en/programs/bachelor-science/economics-management-and-computer-science
ECONOMICS AND COMMUNICATION FOR MANAGEMENT AND INNOVATION - LM-77 R,"Università degli Studi di ROMA ""La Sapienza""",Magistrale,EN,2 years,https://corsidilaurea.uniroma1.it/it/course/33444
FINANCE AND RISK MANAGEMENT - LM-16 R,Università degli Studi di FIRENZE,Magistrale,EN,2 years,http://www.frm.unifi.it/
MANAGEMENT FOR ENERGY AND ENVIRONMENTAL TRANSITION (MEET) - LM-77 R,Università degli Studi di GENOVA,Magistrale,EN,2 years,https://corsi.unige.it/en/corsi/11939
ECONOMICS AND MANAGEMENT OF SUSTAINABLE FOOD SYSTEM - LM-77 R,Università degli Studi di PARMA,Magistrale,EN,2 years,https://corsi.unipr.it/cdlm-emsfs
INNOVAZIONE E GESTIONE DEGLI ALIMENTI E DELLE BEVANDE - LM-70 R,Università Politecnica delle MARCHE,Magistrale,EN,2 years,https://www.d3a.univpm.it/lm_fabiam.2526
ENVIRONMENTAL HAZARD AND DISASTER RISK MANAGEMENT - LM-75 R,Università Politecnica delle MARCHE,Magistrale,EN,2 years,https://www.disva.univpm.it/content/corso-di-laurea-rischio-ambientale-e-protezione-civile
FOOD ANIMAL METABOLISM AND MANAGEMENT IN THE CIRCULAR ECONOMY - LM-86 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/FoodAnimalMetabolismManagement
"ECONOMICS AND MANAGEMENT IN ARTS, CULTURE, MEDIA AND ENTERTAINMENT - LM-77 R","Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/economics-and-management-arts-culture-media-and-entertainment
ECONOMICS AND MANAGEMENT OF CULTURAL RESOURCES AND TERRITORIES - LM-76 R,Università degli Studi di Urbino Carlo Bo,Magistrale,EN,2 years,https://www.uniurb.it/corsi/1757226
ANALYTICS AND DATA SCIENCE FOR ECONOMICS AND MANAGEMENT - LM-DATA,Università degli Studi di BRESCIA,Magistrale,EN,2 years,https://permalink.unibs.it/suacds/2025/54477R/infogen
