Course,University,Masters/Bachelors,Language,Course Duration,Course Link
MATHEMATICS - L-35 R,Università del SALENTO,Triennale,IT,3 years,https://www.unisalento.it/didattica/cosa-studiare/percorsi/-/dettaglio/corso/LB04/matematica
MATHEMATICS - LM-40 R,Università del SALENTO,Magistrale,IT,2 years,https://www.unisalento.it/didattica/cosa-studiare/percorsi/-/dettaglio/corso/LM39/matematica
MATHEMATICS - L-35 R,Università della CALABRIA,Triennale,IT,3 years,https://corsi.unical.it/lt-lmcu/matematica/
1ST DEGREE IN MATHEMATICS - L-35 R,Università degli Studi di Napoli Federico II,Triennale,IT,3 years,http://cs-matematica-triennale.unina.it/
MATHEMATICS - LM-40 R,"Università degli Studi della Campania ""Luigi Vanvitelli""",Magistrale,IT,2 years,http://www.matfis.unicampania.it/didattica/corsi-di-studio/corso-di-laurea-magistrale-in-matematica
MATHEMATICS - LM-40 R,Università degli Studi di MILANO-BICOCCA,Magistrale,MU,2 years,https://elearning.unimib.it/course/index.php?categoryid=2618
MATHEMATICS - LM-40 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,MU,2 years,http://corsi.unibo.it/magistrale-matematica
MATHEMATICS - L-35 R,Università degli Studi ROMA TRE,Triennale,IT,3 years,https://matematicafisica.uniroma3.it/didattica/corsi-di-laurea-e-laurea-magistrale/
MATHEMATICS - L-35 R,"Università degli Studi di ROMA ""Tor Vergata""",Triennale,IT,3 years,https://www-2022.scienze.uniroma2.it/2022/10/15/matematica/
MATHEMATICS - L-35 R,Alma Mater Studiorum - Università di BOLOGNA,Triennale,IT,3 years,http://corsi.unibo.it/laurea-matematica
MATHEMATICS - LM-40 R,Università degli Studi INSUBRIA Varese-Como,Magistrale,EN,2 years,http://www.uninsubria.it/magistrale-matematica
MATHEMATICS - LM-40 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/it/matematica-magistrale
MATHEMATICS - LM-40 R,Università degli Studi dell'AQUILA,Magistrale,EN,2 years,https://www.disim.univaq.it/degree.php?section=single-0A01&degree_id=5
MATHEMATICS - LM-40 R,Università della CALABRIA,Magistrale,EN,2 years,https://corsi.unical.it/lm/mathematics/
MATHEMATICS - LM-40 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC2998&cg=scienze
MATHEMATICS - LM-40 R,Università degli Studi di VERONA,Magistrale,EN,2 years,https://www.corsi.univr.it/?ent=cs&id=1352
MATHEMATICS - LM-40 R,Università degli Studi di TRIESTE,Magistrale,EN,2 years,https://degree.units.it/2-mathematics
MATHEMATICS AND APPLICATIONS - LM-40 R,Università degli Studi di CAMERINO,Magistrale,EN,2 years,https://didattica.unicam.it/Guide/PaginaCorso.do?corso_id=10332
APPLIED MATHEMATICS - LM-40 R,Università degli Studi di SIENA,Magistrale,EN,2 years,https://applied-mathematics.unisi.it/it
MATHEMATICAL ENGINEERING - LM-44 R,Università degli Studi dell'AQUILA,Magistrale,EN,2 years,https://www.disim.univaq.it/degree2a2a.html?section=single-0A01&degree_id=4
MATERIALS SCIENCE - LM SC. MAT.,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC2740&cg=scienze
QUANTITATIVE BIOLOGY - LM-8 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://qbio.cdl.unimi.it/en
ECONOMICS AND DATA ANALYSIS - LM-56 R,Università degli Studi di BERGAMO,Magistrale,EN,2 years,https://ls-eda.unibg.it/en
QUANTITATIVE FINANCE AND INSURANCE - LM-83 R,Università degli Studi di TORINO,Magistrale,EN,2 years,https://www.finance-insurance.unito.it/do/home.pl
ECONOMICS AND DATA ANALYSIS - LM-56 R,Università degli Studi di VERONA,Magistrale,EN,2 years,https://www.corsi.univr.it/?ent=cs&id=1307
ECONOMICS AND ECONOMETRICS - LM-56 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/lmec
PHYSICS OF DATA - LM-17 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC2995&cg=scienze
PHYSICS - LM-17 R,Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/magistrale/fisica-brescia.html
DATA SCIENCE - LM-DATA,Università degli Studi di MILANO-BICOCCA,Magistrale,EN,2 years,https://elearning.unimib.it/course/index.php?categoryid=9172&lang=en
PHYSICS - LM-17 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC2994&cg=scienze
DATA SCIENCE - LM-DATA,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC2738&cg=scienze
PHYSICS - LM-17 R,Università degli Studi di CATANIA,Magistrale,EN,2 years,http://www.dfa.unict.it/corsi/LM-17
APPLIED DATA SCIENCE FOR BANKING AND FINANCE - LM-91 R,Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/applied-data-science-for-banking-and-finance-brescia
ANALYTICS AND DATA SCIENCE FOR ECONOMICS AND MANAGEMENT - LM-DATA,Università degli Studi di BRESCIA,Magistrale,EN,2 years,https://permalink.unibs.it/suacds/2025/54477R/infogen
COMPUTATIONAL FINANCE - LM-16 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC2993&cg=scienze
DATA SCIENCE FOR ECONOMICS AND HEALTH - LM-DATA,Università degli Studi di MILANO,Magistrale,EN,2 years,https://dseh.cdl.unimi.it/en
PHYSICS - LM-17 R,Università degli Studi INSUBRIA Varese-Como,Magistrale,EN,2 years,http://www.uninsubria.it/magistrale-fisica
SOFTWARE: SCIENCE AND TECHNOLOGY - LM-18,Università degli Studi di FIRENZE,Magistrale,EN,2 years,https://www.sst.unifi.it/
ECONOMICS - LM-56 R,Università di PISA,Magistrale,EN,2 years,https://www.ec.unipi.it/didattica/offerta-formativa/laurea-magistrale-in-economics/
ENGINEERING PHYSICS - LM-44 R,Politecnico di MILANO,Magistrale,EN,2 years,https://www.ccs-fisica.polimi.it/
ECONOMICS WITH DATA SCIENCE - L-33 R,Università degli Studi di CASSINO e del LAZIO MERIDIONALE,Triennale,EN,3 years,https://unicas-public.gomp.it/PublicData?uid=539e3281-7a03-4c3a-914a-8305223bec11&mode=CourseDetail&iso=eng&academicYear=2024
DATA ANALYTICS - L-41 R,"Università degli Studi della Campania ""Luigi Vanvitelli""",Triennale,EN,3 years,http://www.matfis.unicampania.it/didattica/corsi-di-studio/data-analytics
PHYSICS - LM-17 R,Università degli Studi dell'AQUILA,Magistrale,EN,2 years,https://dsfc.univaq.it/it/offerta-formativa-fisica.html
DATA SCIENCE AND BUSINESS INFORMATICS - LM-18,Università di PISA,Magistrale,EN,2 years,https://didattica.di.unipi.it/en/master-programme-in-data-science-and-business-informatics/
"ACTUARIAL SCIENCES, RISK AND DATA ANALYSIS - LM-83 R",Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/magistrale/actuarial-sciences-risk-and-data-analysis-milano.html
DATA SCIENCE FOR MANAGEMENT - LM-DATA,Università degli Studi di PARMA,Magistrale,EN,2 years,https://www.universitaly.it/#
DATA SCIENCE AND BUSINESS ANALYTICS - LM-82 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/data-science-and-business-analytics
COMPUTER SCIENCE - LM-18,Università di PISA,Magistrale,EN,2 years,https://www.di.unipi.it/en/education/mcs
COMPUTER SCIENCE - LM-18,Università degli Studi di GENOVA,Magistrale,EN,2 years,https://corsi.unige.it/en/corsi/11964
DATA ANALYTICS FOR BUSINESS - LM-82 R,Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/data-analytics-for-business-milano
