Course,University,Masters/Bachelors,Language,Course Duration,Course Link
PSYCHOLOGICAL SCIENCES AND TECHNIQUES - L-24 R,Università degli Studi di TORINO,Triennale,IT,2 years,https://www.uniba.it/it/corsi/cdl-computer-science/corso-di-laurea-in-computer-science
ECONOMICS AND STATISTICS FOR ORGANIZATIONS - L-33 R,Università degli Studi di TORINO,Triennale,IT,2 years,https://www.uniba.it/it/ricerca/dipartimenti/fisica/didattica/corsi-di-laurea/physics-eng/physics
WORK AND ORGANIZATIONAL PSYCHOLOGY - LM-51 R,Università degli Studi di TORINO,Magistrale,IT,6 years,https://www.uniba.it/it/corsi/medicina-chirurgia-bemc/medicina-e-chirurgia-bari-english-medical-curriculum
CLINICAL PSYCHOLOGY - LM-51 R,Università degli Studi di TORINO,Magistrale,IT,2 years,https://www.uniba.it/it/corsi/scienza-tecnologia-materiali
CRIMINOLOGICAL AND FORENSIC PSYCHOLOGY - LM-51 R,Università degli Studi di TORINO,Magistrale,IT,2 years,https://www.uniba.it/it/corsi/cdl-international-master-agrifood-systems/innovation-development-in-agri-food-systems-ideas
"ECONOMICS OF THE ENVIRONMENT, CULTURE AND TERRITORY - LM-56 R",Università degli Studi di TORINO,Magistrale,IT,3 years,http://www.scienzegeologiche.uniba.it/77-presentazione-corsi/
PUBLIC AND POLITICAL COMMUNICATION - LM-59 R,Università degli Studi di TORINO,Magistrale,IT,2 years,https://manageweb.ict.uniba.it/ricerca/dipartimenti/dse/didattica/schede-dei-corsi/economia-e-strategie-mercati-internazionali
ADMINISTRATIVE AND JURIDICAL SCIENCE OF PUBLIC AND PRIVATE ORGANIZATIONS - LM-63 R,Università degli Studi di TORINO,Magistrale,EN,2 years,https://www.universitaly.it/#
STATISTICAL AND ECONOMIC METHODS FOR DECISIONS - LM-82 R,Università degli Studi di TORINO,Magistrale,EN,2 years,https://poliba.coursecatalogue.cineca.it/corsi/2025/10267
SOCIOLOGY - LM-88 R,Università degli Studi di TORINO,Magistrale,EN,2 years,https://poliba.coursecatalogue.cineca.it/corsi/2025/10162
ARTIFICIAL INTELLIGENCE AND COMPUTER SCIENCE - LM-18,Università della CALABRIA,Magistrale,EN,2 years,https://corsi.unical.it/lm/artificial-intelligence-and-computer-science/
ARTIFICIAL INTELLIGENCE AND DATA ENGINEERING - LM-32,Università di PISA,Magistrale,EN,2 years,https://computer.ing.unipi.it/aide-lm
ARTIFICIAL INTELLIGENCE FOR BIOMEDICINE AND HEALTHCARE - LM-91 R,Università degli Studi di TORINO,Magistrale,EN,2 years,http://www.aibh.unito.it/
ARTIFICIAL INTELLIGENCE FOR SCIENCE AND TECHNOLOGY - LM-91 R,Università degli Studi di MILANO-BICOCCA,Magistrale,EN,2 years,https://elearning.unimib.it/course/index.php?categoryid=9164
ASTROPHYSICS AND SPACE PHYSICS - LM-58 R,Università degli Studi di MILANO-BICOCCA,Magistrale,EN,2 years,https://www.fisica.unimib.it/it/didattica/corsi-studio#main-content
ACCOUNTING AND FINANCIAL MANAGEMENT - LM-77 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/accounting-and-financial-management
ACCOUNTING AND FINANCE - LM-77 R,Libera Università di BOLZANO,Magistrale,MU,2 years,https://www.unibz.it/en/faculties/economics-management/master-accounting-finance/
"ACCOUNTING, FINANCE AND BUSINESS CONSULTING - LM-77 R",Università degli Studi di PADOVA,Magistrale,MU,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/economia-e-scienze-politiche?tipo=LM&scuola=EP&ordinamento=2025&key=EP2898&cg=economia-finanza-gestione-azie
"ACCOUNTING, GOVERNANCE AND SUSTAINABILITY - LM-77 R",Università degli Studi di BERGAMO,Magistrale,EN,2 years,https://ls-ags.unibg.it/en
"ACTUARIAL SCIENCES, RISK AND DATA ANALYSIS - LM-83 R",Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/magistrale/actuarial-sciences-risk-and-data-analysis-milano.html
CLASSICAL ARCHAEOLOGY - LM-2 R,Università degli Studi di Roma UnitelmaSapienza,Magistrale,EN,2 years,https://www.unitelmasapienza.it/corso-di-laurea-magistrale-in-classical-archaeology-in-lingua-inglese/
PSYCHOLOGICAL SCIENCE AND TECHNIQUES - L-24 R,"Università degli Studi ""Guglielmo Marconi"" - Telematica",Triennale,MU,3 years,https://www.unimarconi.it/l-24-corso-di-laurea-in-scienze-e-tecniche-psicologiche/
COMPUTER ENGINEERING - L-8 R,"Università degli Studi ""Guglielmo Marconi"" - Telematica",Triennale,MU,3 years,https://www.unimarconi.it/l-8-corso-di-laurea-in-ingegneria-informatica/
BUSINESS ECONOMICS AND MANAGEMENT - L-18 R,"Università degli Studi ""Guglielmo Marconi"" - Telematica",Triennale,MU,3 years,https://www.unimarconi.it/l-18-corso-di-laurea-in-economia-aziendale-e-management/
"PRIMARY TEACHER EDUCATION - LM-85 BIS,",Università della VALLE D'AOSTA,unico,MU,5 years,http://www.univda.it/magistrale_in_scienze_della_formazione_primaria
LANGUAGE AND COMMUNICATION FOR BUSINESS AND TOURISM - L-12 R,Università della VALLE D'AOSTA,Triennale,MU,3 years,http://www.univda.it/corso_di_laurea_in_lingue_e_comunicazione
BUSINESS ECONOMICS AND ORGANIZATION - L-18 R,"LUM ""Giuseppe Degennaro""",Triennale,EN,3 years,http://%20https//www.lum.it/laurea-in-business-economics-and-organization/
ECONOMICS AND MANAGEMENT - LM-77 R,"LUM ""Giuseppe Degennaro""",Magistrale,MU,2 years,https://www.lum.it/laurea-magistrale-economia-management/
MIND SCIENCES AND TECHNOLOGIES - LM-55 R,Università Telematica Internazionale UNINETTUNO,Magistrale,MU,2 years,https://www.uninettunouniversity.net/
COGNITIVE PROCESSES AND TECHNOLOGIES - LM-51 R,Università Telematica Internazionale UNINETTUNO,Magistrale,MU,2 years,https://www.uninettunouniversity.net/
COMMUNICATIONS ENGINEERING - LM-27,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/2Cycle/TelecommunicationsEngineering
ELECTRICAL ENERGY ENGINEERING - LM-28,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,MU,2 years,http://corsi.unibo.it/elettricamagistrale
ELECTRIC VEHICLE ENGINEERING - LM-28,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/ElectricVehicleEngineering
ELECTRONIC ENGINEERING - LM-29,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,MU,2 years,http://corsi.unibo.it/elettronicaLM
MECHANICAL ENGINEERING FOR SUSTAINABILITY - LM-33,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/Magistrale/IngegneriaMeccanicaForli
GENOMICS - L-2 R,Alma Mater Studiorum - Università di BOLOGNA,Triennale,EN,3 years,http://corsi.unibo.it/1Cycle/Genomics
MANAGEMENT AND ECONOMICS - L-18 R,Alma Mater Studiorum - Università di BOLOGNA,Triennale,EN,3 years,https://corsi.unibo.it/1cycle/Management
BUSINESS ECONOMICS - L-18 R,Alma Mater Studiorum - Università di BOLOGNA,Triennale,MU,3 years,http://corsi.unibo.it/clei
BUSINESS AND ECONOMICS - L-18 R,Alma Mater Studiorum - Università di BOLOGNA,Triennale,EN,3 years,http://corsi.unibo.it/CLaBE
BUILDING CONSTRUCTION ENGINEERING - L-23 R,Alma Mater Studiorum - Università di BOLOGNA,Triennale,EN,3 years,https://corsi.unibo.it/1cycle/Building
"THEATRE, ARTS, LITERATURES. INTERNATIONAL STUDIES IN INTERMEDIALITY - LM-37 R/ LM-65 R",Università degli Studi di MILANO,Magistrale,MU,2 years,https://www.universitaly.it/#
TRANSPORTATION ENGINEERING AND MOBILITY - LM-23 R,Università degli Studi di Napoli Federico II,Magistrale,EN,2 years,https://transpeng.unina.it/
SUSTAINABLE POLYMER AND PROCESS CHEMISTRY - LM-71 R,Università degli Studi di GENOVA,Magistrale,EN,2 years,https://corsi.unige.it/en/corsi/11950
SUSTAINABLE NATURAL RESOURCE MANAGEMENT - LM-73 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://snrm.cdl.unimi.it/en
SUSTAINABLE INDUSTRIAL CHEMISTRY - LM-71 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://sic.cdl.unimi.it/en
SUSTAINABLE FOOD SYSTEMS - LM-70 R,Università degli Studi di Napoli Federico II,Magistrale,EN,2 years,https://www.agraria.unina.it/lauree-magistrali/sustainable-food-systems
SUSTAINABLE CHEMISTRY AND TECHNOLOGIES FOR CIRCULAR ECONOMY - LM-71 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC3009&cg=scienze
SUSTAINABLE AND RESILIENT PAVEMENT ENGINEERING - LM-23 R,Università degli Studi di PALERMO,Magistrale,EN,2 years,http://surpave.eu/
SUSTAINABLE AGRICULTURE - LM-69 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/agraria-e-medicina-veterinaria?tipo=LM&scuola=AV&ordinamento=2025&key=AV2881&cg=scienze-agrarie-forestali-e-al
"SUSTAINABLE TERRITORIAL DEVELOPMENT – CLIMATE CHANGE, DIVERSITY, COOPERATION - LM-81 R",Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/ingegneria?tipo=LM&scuola=IN&ordinamento=2025&key=IN2941&cg=scienze
MEDICAL BIOTECHNOLOGY - LM-9 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/MedicalBiotechnology
SCIENCE FOR THE CONSERVATION-RESTORATION OF CULTURAL HERITAGE - LM-11 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/scienceforconservation
PHARMACY - LM-13 R,Alma Mater Studiorum - Università di BOLOGNA,unico,EN,5 years,https://corsi.unibo.it/singlecycle/Pharmacy-Rimini
QUANTITATIVE FINANCE - LM-16 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/Qfinance
GREENING ENERGY MARKET AND FINANCE - LM-16 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/GreeningEnergyMarketFinance
SCIENCE OF CLIMATE - LM-17 R/ LM-79 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/ClimateScience
PHYSICS - LM-17 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,MU,2 years,https://corsi.unibo.it/2cycle/Physics
ADVANCED METHODS IN PARTICLE PHYSICS - LM-17 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/ParticlePhysics
AEROSPACE ENGINEERING - LM-20 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/2cycle/AerospaceEngineering
BIOMEDICAL ENGINEERING - LM-21 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/BiomedicalEngineering/index.html
OFFSHORE ENGINEERING FOR ENERGY TRANSITION - LM-22 R/ LM-35 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/2Cycle/OffshoreEngineering
CHEMICAL AND PROCESS ENGINEERING - LM-22 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,MU,2 years,http://corsi.unibo.it/Magistrale/IngegneriaChimicaProcesso
CIVIL ENGINEERING - LM-23 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/civil-engineering
ENVIRONMENTAL ENGINEERING - LM-35 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,MU,2 years,http://corsi.unibo.it/ingegneriambienterritorioLM
"LANGUAGE, SOCIETY AND COMMUNICATION - LM-38 R",Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/2Cycle/LanguageSocietyCommunication
MATHEMATICS - LM-40 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,MU,2 years,http://corsi.unibo.it/magistrale-matematica
MEDICINE AND SURGERY - LM-41 R,Alma Mater Studiorum - Università di BOLOGNA,unico,EN,6 years,http://corsi.unibo.it/SingleCycle/MedicineAndSurgery
VETERINARY MEDICINE - LM-42 R,Alma Mater Studiorum - Università di BOLOGNA,unico,EN,5 years,https://corsi.unibo.it/singlecycle/VeterinaryMedicine
DIGITAL HUMANITIES AND DIGITAL KNOWLEDGE - LM-43 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/2cycle/digitalhumanitiesdigitalknowledge
"WORK, ORGANIZATIONAL AND PERSONNEL PSYCHOLOGY - LM-51 R",Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/OrganizationalPsychology
ARTIFICIAL INTELLIGENCE - LM-32,"Università degli Studi di ROMA ""La Sapienza""",Magistrale,EN,2 years,https://corsidilaurea.uniroma1.it/it/course/33513
ARTIFICIAL INTELLIGENCE - LM-18/ LM-32,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/artificial-intelligence
ARTIFICIAL INTELLIGENCE & CYBERSECURITY - LM-18,Università degli Studi di UDINE,Magistrale,EN,2 years,https://www.uniud.it/it/didattica/corsi/area-scientifica/scienze-matematiche-informatiche-multimediali-fisiche/laurea-magistrale/artificial-intelligence-cybersecurity
ARTIFICIAL INTELLIGENCE ENGINEERING - LM-32,Università degli Studi di MODENA e REGGIO EMILIA,Magistrale,EN,2 years,https://www.ingmo.unimore.it/it/didattica/corsi-di-laurea-magistrale-informazioni-generali/artificial-intelligence-engineering
ARTIFICIAL INTELLIGENCE SYSTEMS - LM-32,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/artificial-intelligence-systems
ARTIFICIAL INTELLIGENCE AND AUTOMATION ENGINEERING - LM-32,Università degli Studi di SIENA,Magistrale,EN,2 years,https://artificial-intelligence-automation.unisi.it/
ARTIFICIAL INTELLIGENCE AND ROBOTICS - LM-32,"Università degli Studi di ROMA ""La Sapienza""",Magistrale,EN,2 years,https://corsidilaurea.uniroma1.it/it/course/33514
ARTIFICIAL INTELLIGENCE - LM-18,Università degli Studi di VERONA,Magistrale,EN,2 years,https://www.corsi.univr.it/?ent=cs&id=1355
ARTIFICIAL INTELLIGENCE - L-31 R,Università degli Studi di PAVIA,Triennale,EN,3 years,https://matematica.unipv.it/laurea-triennale-ia/
HEALTH ASSISTANCE - L/SNT4,Università degli Studi di PADOVA,Triennale,MU,3 years,https://www.unipd.it/offerta-didattica/corso-di-laurea/medicina-e-chirurgia?tipo=L&scuola=ME&ordinamento=2023&key=ME2745&cg=professioni-sanitarie
ASTROPHYSICS AND COSMOLOGY - LM-58 R,"Università degli Studi di ROMA ""La Sapienza""",Magistrale,EN,2 years,https://corsidilaurea.uniroma1.it/it/course/33607
ASTROPHYSICS AND SPACE SCIENCE - LM-58 R,"Università degli Studi di ROMA ""Tor Vergata""",Magistrale,EN,2 years,https://www.master-mass.eu/
ASTROPHYSICS AND COSMOLOGY - LM-17 R/ LM-58 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC2996&cg=scienze
ASTROPHYSICS AND COSMOLOGY - LM-58 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/Astrophysics
