Course,University,Masters/Bachelors,Language,Course Duration,Course Link
COMPUTER SCIENCE - L-31 R,Università di PISA,Triennale,IT,3 years,https://didattica.unicam.it/Guide/PaginaCorso.do?corso_id=10025
COMPUTER SCIENCE - LM-18,Università degli Studi di MILANO,Magistrale,IT,2 years,https://www.uninsubria.it/magistrale-informatica
COMPUTER SCIENCE - L-31 R,Università della CALABRIA,Triennale,IT,3 years,https://www.disim.univaq.it/degree.php?section=single-0A01&degree_id=9
COMPUTER SCIENCE - L-31 R,Università degli Studi di MILANO,Triennale,IT,3 years,https://www.unica.it/unica/it/crs_70_90.page
COMPUTER SCIENCE - L-31 R,Università degli Studi di GENOVA,Triennale,IT,3 years,https://corsidilaurea.uniroma1.it/it/course/33508
COMPUTER SCIENCE - L-31 R,Università degli Studi di UDINE,Triennale,IT,3 years,https://poliba.coursecatalogue.cineca.it/corsi/2025/10021
COMPUTER SCIENCE - L-31 R,Università degli Studi di CAMERINO,Triennale,IT,3 years,https://corsidilaurea.uniroma1.it/it/course/33515
COMPUTER SCIENCE AND ENGINEERING - LM-32,Università degli Studi ROMA TRE,Magistrale,IT,2 years,https://engineering-in-computer-science.cdl.unime.it/en
COMPUTER SCIENCE - LM-18,Università degli Studi di CATANIA,Magistrale,IT,2 years,https://corsi.unige.it/en/corsi/11964
COMPUTER ENGINEERING - L-8 R,Università degli Studi di GENOVA,Triennale,MU,3 years,http://informatica.uniparthenope.it/
COMPUTER ENGINEERING - LM-32,Università degli Studi di TRIESTE,Magistrale,EN,2 years,https://degree.units.it/2-computer-engineering
COMPUTER SCIENCE AND ENGINEERING - LM-32,Politecnico di MILANO,Magistrale,EN,2 years,https://www.inginformatica.polimi.it/
"ECONOMICS, MANAGEMENT AND COMPUTER SCIENCE - L-33 R","Università Commerciale ""Luigi Bocconi"" MILANO",Triennale,EN,3 years,https://www.unibocconi.it/en/programs/bachelor-science/economics-management-and-computer-science
APPLIED COMPUTER SCIENCE AND ARTIFICIAL INTELLIGENCE - L-31 R,"Università degli Studi di ROMA ""La Sapienza""",Triennale,EN,3 years,https://corsidilaurea.uniroma1.it/it/course/33502
COMPUTER SCIENCE AND ARTIFICIAL INTELLIGENCE - LM-18,Università degli Studi di PALERMO,Magistrale,EN,2 years,https://www.universitaly.it/#
"MOLECULAR BIOLOGY, MEDICINAL CHEMISTRY AND COMPUTER SCIENCE FOR PHARMACEUTICAL APPLICATIONS - L-29 R","Università degli Studi di ROMA ""La Sapienza""",Triennale,EN,3 years,https://corsidilaurea.uniroma1.it/it/course/33457
COMPUTER ENGINEERING FOR INTELLIGENT SYSTEMS - LM-32,Università degli Studi di VERONA,Magistrale,EN,2 years,https://www.corsi.univr.it/?ent=cs&id=1291
COMPUTER SCIENCE AND INFORMATION TECHNOLOGY - LM-18,"Università ""Ca' Foscari"" VENEZIA",Magistrale,EN,2 years,http://www.unive.it/cdl/cm90
COMPUTING SYSTEMS ENGINEERING - LM-32,Università degli Studi dell'AQUILA,Magistrale,EN,2 years,https://www.disim.univaq.it/degree.php?section=single-0A01&degree_id=18
HIGH PERFORMANCE COMPUTING ENGINEERING - LM-32,Politecnico di MILANO,Magistrale,EN,2 years,https://masterhpc.polimi.it/
COMPUTING FOR DATA SCIENCE - LM-18,Libera Università di BOLZANO,Magistrale,EN,2 years,https://www.unibz.it/en/faculties/engineering/master-computing-data-science/
