School,Location
Adams State University,"Alamosa, CO"
Air Force Academy,"USAF Academy, CO"
Albright College,"Reading, PA"
Alvernia University,"Reading, PA"
Alverno College,"Milwaukee, WI"
AMDA College of the Performing Arts,"Los Angeles, CA"
AMDA The American Musical and Dramatic Academy,"New York, NY"
Anderson University (SC),"Anderson, SC"
Antioch College,"Yellow Springs, OH"
Aquinas College,"Grand Rapids, MI"
Arizona Christian University,"Glendale, AZ"
Augustana University (South Dakota),"Sioux Falls, SD"
Aurora University,"Aurora, IL"
Austin College,"Sherman, TX"
Avila University,"Kansas City, MO"
Baker College,"Owosso, MI"
Belhaven University,"Jackson, MS"
Beloit College,"Beloit, WI"
Blackburn College,"Carlinville, IL"
Bluffton University,"Bluffton, OH"
Bradley University,"Peoria, IL"
Brescia University,"Owensboro, KY"
Bryn Mawr College,"Bryn Mawr, PA"
Caldwell University,"Caldwell, NJ"
Campbell University,"Buies Creek, NC"
Canisius University,"Buffalo, NY"
Carl Sandburg College,"Galesburg, IL"
Carlow University,"Pittsburgh, PA"
Carson-Newman University,"Jefferson City, TN"
Catawba College,"Salisbury, NC"
Cedarville University,"Cedarville, OH"
Centenary College of Louisiana,"Shreveport, LA"
Central State University,"Wilberforce, OH"
Champlain College,"Burlington, VT"
Cheyney University of Pennsylvania,"Cheyney, PA"
Christian Brothers University,"Memphis, TN"
Clark University,"Worcester, MA"
Clarkson University,"Potsdam, NY"
Cleveland State University,"Cleveland, OH"
Coker University,"Hartsville, SC"
Colby-Sawyer College,"New London, NH"
College for Creative Studies,"Detroit, MI"
College of Saint Benedict,"Collegeville, MN"
College of the Atlantic,"Bar Harbor, ME"
College of Wooster,"Wooster, OH"
Columbia College (SC),"Columbia, SC"
Connecticut College,"New London, CT"
Converse University,"Spartanburg, SC"
D'Youville University,"Buffalo, NY"
Dallas Baptist University,"Dallas, TX"
Delaware Valley University,"Doylestown, PA"
DePauw University,"Greencastle, IN"
DeSales University,"Center Valley, PA"
Dominican University of California,"San Rafael, CA"
Duquesne University,"Pittsburgh, PA"
Edgewood University,"Madison, WI"
Elim Bible College,"Lima, NY"
Elizabethtown College,"Elizabethtown, PA"
Elmira College,"Elmira, NY"
Elms College,"Chicopee, MA"
Eureka College,"Eureka, IL"
Evangel University,"Springfield, MO"
Ferris State University,"Big Rapids, MI"
Florida Southern College,"Lakeland, FL"
Franciscan Missionaries of Our Lady University (FranU),"Baton Rouge, LA"
Franklin Pierce University,"Rindge, NH"
Generations College,"Chicago, IL"
Georgian Court University,"Lakewood Township, NJ"
Goldey-Beacom College,"Wilmington, DE"
Goucher College,"Baltimore, MD"
Graceland University,"Lamoni, IA"
Grand Valley State University,"Allendale, MI"
Grand View University,"Des Moines, IA"
Grinnell College,"Grinnell, IA"
Gwynedd Mercy University,"Gwynedd Valley, PA"
Hallmark University,"San Antonio, TX"
Hamline University (MN),"Saint Paul, MN"
Hampshire College,"Amherst, MA"
Hastings College,"Hastings, NE"
Heidelberg University,"Tiffin, OH"
Hilbert College,"Hamburg, NY"
Hiram College,"Hiram, OH"
Hollins University,"Roanoke, VA"
Holy Family University,"Philadelphia, PA"
Hood College,"Frederick, MD"
Houghton University,"Houghton, NY"
Houston Christian University,"Houston, TX"
Illinois College,"Jacksonville, IL"
Indiana Tech,"Fort Wayne, IN"
John Carroll University,"University Heights, OH"
Johnson & Wales University-Charlotte,"Charlotte, NC"
Johnson & Wales University-Providence,"Providence, RI"
Keiser University Flagship Campus - West Palm Beach Florida,"West Palm Beach, FL"
Kentucky College of Art + Design,"Louisville, KY"
Kenyon College,"Gambier, OH"
La Roche University,"Pittsburgh, PA"
Lander University,"Greenwood, SC"
Lebanon Valley College,"Annville, PA"
Lewis & Clark College,"Portland, OR"
Lincoln Land Community College,"Springfield, IL"
Lincoln University of Pennsylvania,"Lincoln University, PA"
Lindenwood University,"Saint Charles, MO"
Livingstone College,"Salisbury, NC"
Loras College,"Dubuque, IA"
Lourdes University,"Sylvania, OH"
Loyola University Chicago,"Chicago, IL"
Lubbock Christian University,"Lubbock, TX"
Luther College,"Decorah, IA"
Lycoming College,"Williamsport, PA"
Lynn University,"Boca Raton, FL"
Macalester College,"Saint Paul, MN"
Madonna University,"Livonia, MI"
Marian University - Indiana,"Indianapolis, IN"
Marietta College,"Marietta, OH"
Mary Baldwin University,"Staunton, VA"
Massachusetts College of Liberal Arts,"North Adams, MA"
McDaniel College,"Westminster, MD"
McKendree University,"Lebanon, IL"
McPherson College,"Mc Pherson, KS"
Menlo College,"Atherton, CA"
Merrimack College,"North Andover, MA"
Millikin University,"Decatur, IL"
Millsaps College,"Jackson, MS"
Milwaukee Institute of Art & Design,"Milwaukee, WI"
Minerva University,"San Francisco, CA"
Misericordia University,"Dallas, PA"
Monmouth College (IL),"Monmouth, IL"
Morehead State University,"Morehead, KY"
Morningside University,"Sioux City, IA"
Mount Holyoke College,"South Hadley, MA"
Mount Saint Mary College,"Newburgh, NY"
Mount St. Joseph University,"Cincinnati, OH"
MSU Denver,"Denver, CO"
Muhlenberg College,"Allentown, PA"
Nazareth University,"Rochester, NY"
Nebraska Wesleyan University,"Lincoln, NE"
Neumann University,"Aston, PA"
New England College,"Henniker, NH"
New England Institute of Technology,"East Greenwich, RI"
New Mexico Institute of Mining and Technology,"Socorro, NM"
New York School of Career & Applied Studies of Touro College & University System,"New York, NY"
Newberry College,"Newberry, SC"
Niagara University,"Niagara University, NY"
North Carolina Wesleyan University,"Rocky Mount, NC"
North Central College,"Naperville, IL"
Northern Michigan University,"Marquette, MI"
Northwest Nazarene University,"Nampa, ID"
Oakland University,"Rochester, MI"
Oakton College,"Des Plaines, IL"
Oberlin College of Arts and Sciences,"Oberlin, OH"
Ohio Northern University,"Ada, OH"
Ohio Wesleyan University,"Delaware, OH"
Pacific Lutheran University,"Tacoma, WA"
Palm Beach Atlantic University,"West Palm Beach, FL"
Park University,"Parkville, MO"
Point Park University,"Pittsburgh, PA"
Queens University of Charlotte,"Charlotte, NC"
Radford University,"Radford, VA"
Randolph-Macon College,"Ashland, VA"
Reed College,"Portland, OR"
Regent University,"Virginia Beach, VA"
Regis College,"Weston, MA"
Regis University,"Denver, CO"
Reinhardt University,"Waleska, GA"
Rend Lake College,"Ina, IL"
Rensselaer Polytechnic Institute,"Troy, NY"
Rhodes College,"Memphis, TN"
Ripon College,"Ripon, WI"
Robert Morris University (PA),"Moon Twp, PA"
Roberts Wesleyan University,"Rochester, NY"
Rockford University,"Rockford, IL"
Russell Sage College,"Troy, NY"
Saint Elizabeth University,"Morristown, NJ"
Saint John's University (MN),"Collegeville, MN"
Saint Martin's University,"Lacey, WA"
"Saint Mary's College, Notre Dame, Indiana","Notre Dame, IN"
Saint Mary's University of Minnesota,"Winona, MN"
Saint Michael's College,"Colchester, VT"
Saint Peter's University,"Jersey City, NJ"
Saint Vincent College,"Latrobe, PA"
Saint Xavier University,"Chicago, IL"
Salem College,"Winston-Salem, NC"
Sauk Valley Community College,"Dixon, IL"
Seton Hill University,"Greensburg, PA"
Sewanee: The University of the South,"Sewanee, TN"
Simmons University,"Boston, MA"
Simon’s Rock at Bard College,"Barrytown, NY"
Simpson College,"Indianola, IA"
Simpson University,"Redding, CA"
Skidmore College,"Saratoga Springs, NY"
Smith College,"Northampton, MA"
Southeast Missouri State University,"Cape Girardeau, MO"
Spartanburg Methodist College,"Spartanburg, SC"
Spring Arbor University,"Spring Arbor, MI"
Spring Hill College,"Mobile, AL"
Springfield College,"Springfield, MA"
St. Bonaventure University,"St. Bonaventure, NY"
St. Edward's University,"Austin, TX"
St. John Fisher University,"Rochester, NY"
St. John's College (NM),"Santa Fe, NM"
St. Lawrence University,"Canton, NY"
St. Mary's University,"San Antonio, TX"
St. Thomas University (FL),"Miami Gardens, FL"
Stephens College,"Columbia, MO"
Sterling College,"Craftsbury Common, VT"
Stetson University,"DeLand, FL"
Stevenson University,"Owings Mills, MD"
Susquehanna University,"Selinsgrove, PA"
Sweet Briar College,"Sweet Briar, VA"
The Catholic University of America,"Washington, DC"
The College of Idaho,"Caldwell, ID"
The University of Findlay,"Findlay, OH"
Thomas More University,"Crestview Hills, KY"
Tiffin University,"Tiffin, OH"
Trine University,"Angola, IN"
Triton College,"River Grove, IL"
Truman State University,"Kirksville, MO"
Union College,"Schenectady, NY"
Universidad del Sagrado Corazon,"San Juan, PR"
University of Dayton,"Dayton, OH"
University of Detroit Mercy,"Detroit, MI"
University of Hartford,"West Hartford, CT"
University of Holy Cross,"New Orleans, LA"
University of Illinois Springfield,"Springfield, IL"
University of Maine at Fort Kent,"Fort Kent, ME"
University of Mary Hardin-Baylor,"Belton, TX"
University of Michigan-Flint,"Flint, MI"
University of New England,"Biddeford, ME"
University of Portland,"Portland, OR"
University of Redlands,"Redlands, CA"
University of Science and Arts of Oklahoma,"Chickasha, OK"
University of Sioux Falls,"Sioux Falls, SD"
University of St. Thomas (MN),"Saint Paul, MN"
University of Texas Permian Basin,"Odessa, TX"
University of the District of Columbia,"Washington, DC"
University of the Incarnate Word,"San Antonio, TX"
University of Wisconsin - Parkside,"Kenosha, WI"
